language,average-whatlang,single-words-whatlang,word-pairs-whatlang,sentences-whatlang,average-cld3,single-words-cld3,word-pairs-cld3,sentences-cld3,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Afrikaans,51,21,39,92,55,22,46,98,64,38,62,93,79,58,81,97
Albanian,NaN,NaN,NaN,NaN,55,18,48,98,80,54,86,99,88,69,95,100
Arabic,89,77,91,99,90,79,92,100,94,88,96,99,98,96,99,100
Armenian,NaN,NaN,NaN,NaN,99,100,100,97,100,100,100,100,100,100,100,100
Azerbaijani,65,45,58,91,81,62,82,99,82,71,78,96,90,77,92,99
Basque,NaN,NaN,NaN,NaN,62,33,62,92,75,56,76,92,84,71,87,93
Belarusian,81,64,80,98,84,67,86,100,92,80,95,100,97,92,99,100
Bengali,100,100,100,100,99,98,99,99,100,100,100,100,100,100,100,100
Bokmal,34,15,28,60,NaN,NaN,NaN,NaN,50,27,47,75,58,39,59,77
Bosnian,NaN,NaN,NaN,NaN,33,19,28,52,29,23,29,36,35,29,35,41
Bulgarian,61,37,57,89,70,45,66,98,78,56,81,96,87,70,91,99
Catalan,NaN,NaN,NaN,NaN,48,19,42,84,58,33,60,82,70,51,74,87
Chinese,100,100,100,100,92,92,83,100,100,100,100,100,100,100,100,100
Croatian,55,28,44,91,42,26,42,58,60,36,57,86,73,53,74,90
Czech,50,31,46,71,64,39,65,88,71,54,72,87,80,66,84,91
Danish,47,24,38,79,58,26,54,95,70,45,70,95,81,61,84,98
Dutch,47,22,36,82,58,29,47,97,64,36,61,94,77,55,81,96
English,49,18,35,94,54,22,44,97,63,29,62,97,81,55,89,99
Esperanto,52,25,45,88,57,22,51,98,66,44,61,93,84,67,85,98
Estonian,61,36,53,94,70,41,69,99,83,62,88,99,92,80,96,100
Finnish,71,45,70,98,80,58,84,99,91,77,95,100,96,90,98,100
French,64,37,59,97,55,22,49,94,77,52,83,98,89,74,94,99
Ganda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,65,87,100,91,79,95,100
Georgian,100,100,100,100,98,99,100,96,100,100,100,100,100,100,100,100
German,65,38,60,97,66,40,62,98,80,57,84,99,89,74,94,100
