കേരളത്തിൽ ദുരിതമനുഭവിക്കുന്നവർക്ക്
സഹായം എത്തിക്കാൻ
മുംബൈ മലയാളികളും
കേരളത്തിലേക്ക് രക്ഷാപ്രവർത്തനത്തിനായി
വരുന്ന കോസ്റ്റ്ഗാർഡിന്റെ
കപ്പലിൽ പരമാവധി
അവശ്യസാധനങ്ങൾ എത്തിക്കാനാണ്
തീരുമാനം ലോകകേരളസഭാ
അംഗങ്ങളും വിവിധ
മലയാളി സമാജങ്ങളും
സംഘടനകളും വ്യക്തികളും
നടത്തിയ സമാഹരണം
അന്തിമഘട്ടത്തിലാണ് ബൂലോഗ‌
ക്ലബ്ബ്‌ ബ്ലോഗ്ക്യാമ്പ്
ചെന്നൈയില്‍ കുഞ്ഞന്‍
പറഞ്ഞു വെരിഫിക്കേഷനു
വേണ്ടി മെയില്‍
അയച്ചിട്ടുണ്ട് ദയവായി
ലിങ്ക് ചെയ്യുക
മത്സ്യബന്ധനത്തിന് ബോട്ടുകളെ
കുറിച്ച് വിവരം
ലഭിച്ചിട്ടില്ല ഹണിബി
തിയറ്ററിലെത്തി മൻസൂർ
അലിയെ പിന്തുടർന്നോളൂ
സർക്കാർ ഉറപ്പ്
പ്രൈമറി സ്കൂളിലെ
കണക്കുക്ലാസുകളില്‍ നമ്മള്‍
പരിചയിച്ചിട്ടുള്ള ഘടകക്രിയ
ഗണിതസൂത്രത്തെ ഓര്‍മ്മിപ്പിക്കുന്ന
ആസൂത്രണത്തെ ആറുമരണങ്ങളുടെ
പള്‍പ്‌ഫിക്ഷന്‍ പാഠപുസ്തക
ത്തിന്റെ ആവിഷ്ക്കാരത്തിലേക്ക്
ദേവദാസ് വിളക്കിച്ചേര്‍ത്തിട്ടുണ്ട്
എന്ന് എന്റെ
വായനയ്ക്ക് തോന്നുന്നു
മരണമാണിവിടെ വിഭജിക്കപ്പെടുന്നത്
ജീവിതത്തിന്റെ പെരുക്കപ്പട്ടികയില്‍നിന്നാവുന്നു
ഘടകങ്ങള്‍ തിരഞ്ഞെടുക്കപ്പെടുന്നത്
വിന്‍ഡോസിനു മുകളില്‍
എത്തുക എന്നതല്ലല്ലോ
ഗ്നുലിനക്സിന്റെ ലക്ഷ്യം
ഉപയോക്താക്കളുടെ എണ്ണം‌
വെച്ച് നോക്കുകയാണെങ്കില്‍
മുന്നിലായിരിക്കും എന്നാല്‍
ഗുണമേന്മയുടെയും വളര്‍ച്ചയുടെയും
കാര്യത്തില്‍ ഗ്നുലിനക്സ്
തന്നെ മുന്നില്‍
കാരണം മുന്നോട്ട്
വയ്ക്കുന്ന പ്രത്യയശാസ്ത്രം
തന്നെയാണ് പലരും
അതിന്റെ അജ്ഞരാണ്
അല്ലെങ്കില്‍ തെറ്റിധരിക്കപ്പെട്ടവരാണ്
എങ്കില്‍ കൂടിയും
ഗ്നുലിനക്സ് വിന്‍ഡോസിന്റെ
പിന്നിലാണ് എന്നത്
ശരിയായ കാര്യമല്ല
ഇന്നത്തെ എൽപിജി
മിഴികളോ പ്രണയാര്‍ദ്രമായി
എന്റെ മെഴുതിരി
അത്താഴങ്ങള്‍ ചിത്രത്തിലെ
വീഡിയോ കാണാം
തണുത്ത കരസ്പര്‍ശം
തോളില്‍ വീണപ്പോള്‍
ഞെട്ടിത്തിരിഞ്ഞു പെട്ടെന്ന്
മുന്നില്‍ തമ്പ്രാനു
മുന്നില്‍ ചൂളിപ്പോയി
എഴുന്നേറ്റ് തമ്പ്രാനുമുന്നില്‍
കുനിച്ചു നിന്നു
എന്നിട്ടും അവൾക്കൊരു
കുലുക്കവും വരാഞ്ഞത്
കണ്ടാണ് അവസാനം
ഞാനവളോട് നേരിട്ട്
ചോദിച്ചത് വന്നു
ചെക്കന്മാരെ ഒന്നും
പിടിക്കാത്തത് പഠിച്ച
പഠിപ്പിനൊത്ത ആളല്ലാത്തതു
കൊണ്ടാണോ എന്ന്
ഞാനിതു ചോദിച്ചപ്പോൾ
പഠിപ്പിലൊക്കൊ എന്ത്
എന്നാണവൾ പറഞ്ഞത്
കാണാൻ സുന്ദരനായ
ഒരുവനെയാണോ കാത്തിരിക്കുന്നത്
എന്ന് ചോദിച്ചപ്പോൾ
പറഞ്ഞു അതിലൊക്കൊ
എന്തിരിക്കുന്നു എന്ന്
പണ്ഡിതന്മാര്‍ എണ്ണം
നിശ്ചയിച്ചിട്ടുണ്ടെന്നത് വിസ്മരിക്കുന്നില്ല
മൂന്നു എന്നിങ്ങനെ
