உயிர் அச்சுறுத்தல்
பிரதேசச் செயலகங்களில்
சதுர்னேலியா ஆகியவை
என்று டிரிஸ்
கண்டிப்பாக வாங்கி
எச்சுடன் நிகழ்
இல்லாமலிருப்பது பார்சியர்களுக்கு
மெக்சிகோ நகரில்
நிறைஞர் பட்டமும்
படியாக மாற்றி
இப்போது இணைப்பைப்
திருவலஞ்சுழி வலஞ்சுழிநாதர்
இடங்களில் மட்டும்
யானைகளில் யானைகளுக்கு
அமைப்பையும் நாடுகளுக்கிடையேயான
எழுதப்பட்ட முதல்
சார்பாகவோ அல்லது
இடம்பெற்ற ஐக்கிய
மோசமானத் தோல்வியைக்
மேலும் போரின்போது
கவனம் செலுத்தும்படி
தொடர்ச்சியாக ஆண்டுகள்
ஆங்கிலேயரைத் தமிழ்
விடுதலைப் போராட்ட
காலோவின் பிறப்பும்
பிரித்தானியம் என்பது
என்பதற்க்கு பதிலாக
சுமார் அங்குலம்
அரசமரபு காலத்தில்
இவ்வாறான வேகத்தில்
வழக்கினால் பாகவதர்
பிரதேசங்களைப் பொதுவாக
துணைப் எனவும்
அண்மைக்காலங்களில் இடம்பெற்ற
முனைவர் ஆய்வை
அமெரிக்க நாடுகளில்
ஆய்வுக்கட்டுரை எழுதி
எழுதுகிறார் பலரும்
உலாவி சாளரத்தை
இரண்டு நாட்கள்
டியோடோர் கிளீவ்
சப்பானிய பின்னுயிர்
மெதுவாக ஈரக்காற்றுடன்
தமிழ்நாட்டின் தஞ்சாவூர்
கோயிலுக்கு வழிபாட்டுக்கு
முறைகள் நிகழ்வுகளில்
கவிதையிலிருந்து தொகுத்துப்
திரைப்பட நடிகை
நியூஸிலாந்து மற்றும்
இங்கு தீர்த்தவாரி
ஆரம்பக் கல்வி
காந்தி என்றும்
முறையைப் பயன்படுத்தி
விரிவுபடுத்த நாசிக்
ஜியாங்சி பெயர்
பிரான்சிசு பள்ளி
கணக்கெடுப்பின் மக்கள்
வெட்டப்பட்டு இரத்த
காவலகம் அமைப்பையும்
அர்ஜூனரிடம் இணைந்து
நடப்பதை குறைத்தன
சிகிச்சைக்கான மருந்தும்
கல்லூரியின் ஆண்டுமலரில்
காலம் சுடர்
