chippa sunguli
mayengani tekile
kambe vavulavuri
songezo mhlekwa
sharon mathebula
emahlweni hundzuluxa
unwana khongela
faneleke nseketelo
swingo lavanga
mutsari tsala
xikwembu tatana
ehandle tirhadiyo
sayina ntwanano
nhluvuko vulavisisi
hlurile kwale
mintlangu sport
leswaku mitirho
dumeke mikateko
sweswo tiyisile
humelela vavasati
tivaka vuyimbeleri
vekisa ndzavisiso
gwambe dzavani
kongomisiwile antswisa
tlhandlameta malembe
vavanuna ndzhuti
hetiseka gembula
humesiwa embasi
mudyaxihi esenthareni
lamatsongo kutani
indaba mudyaxihi
vatsonga rixaka
swiphemu sisiteme
khumbhekaka vuyisela
ricondzo mhangele
emahlweni minkarhi
munghana nakulorhi
vavulavuri gitonga
vuvekisi hansi
swivilelo vatirhisi
hlula mbombela
vamanana xavisana
leyinga sungula
tanihi xiphemu
tirhisiwa matiko
vutlharhi mhangele
mhani twisisa
milomo leswaku
tipolitiki hambanana
makhatalani alaka
lonene unveiled
comments nkhavi
mendlele nsuku
pfuneta rhula
endla vanwana
vululami kurisiwile
swinwana vuhlanganisi
migodi vutleketli
phaziwe mutlangi
ndzimana khumenhungu
tindava emunwini
mapapila karhi
mozambique south
makoti magwinya
mitirho nhluvukiso
hetelela rixaka
angarhelaka swinwana
tsaniseku ntirho
vaakatiko pfumalaka
march manana
kumekaku fanele
tirha leswaku
vaaki milandzu
tshama mdavula
komisa emahlweni
leswi tivisiwa
nongonoko hlayela
swimilana swiharhi
ndzhawu tshama
nhlamuselo vulawuri
pfula xigwitsirisi
manana baloyi
khale inthene
milawu xiphurofexinali
lembe sungula
china jinping
humelela simekiwa
manwana maendlelo
ekaya mabyasi
wunwana tikuma
kumbe mintlangu
xiswona mintirho
vutisa xavisa
hloma vuthu
pfuxeto kunguhatiweke
nghena antswisa
mabindzu lamakulu
nghenisile tlula
anama dzika
humesiwa xiviko
nhlangano tinhweni
yakwe kumaka
ntlhanu tidyondzo
vuswikoti humesa
enhlokweni ntirho
mintlangu xipano
tumbuluxiwa maendelele
humelela xiyimo
matshalatshala antswisa
vantshwa emigangeni
tienthithi switatimende
sweswi tirha
nwamahungu marha
jikajika emavhaengeleni
lembe rinwe
phurosidente tumbuluxa
timhaka mbulavulo
evutonwini humelela
leswaku kumeka
hlanganyeta mbita
xisiwana ambale
endla tinyungubyisa
tshumbunyuka khomiwi
minxavo ntswalo
xiharhi xinwana
ehofisini kusuhi
leswaku nkwinika
asidi ndzawulo
kotisa ndlopfu
swona endlaka
magwinya january
vumaki switshivelwa
igesund endleke
hetelela masocha
