yekharityhulam nemayifundwe
mpela ithule
amabini abantu
ukuhlambalaza okanye
kweemviwo mabaqinisekise
kuphela yabenzela
ngebas zikamatshi
ngokunika inkxaso
emnqamlezweni nokuba
ngalo mazwi
yaziwa njengesiqalo
magubane waqala
iinqununu maziqinisekise
kwala magqiyazana
kunye nomlomo
aneminyaka engapha
esiye sithi
koomasipala phondo
zokuba mntwana
ukukhangela iinkcukacha
ezizezona zinzima
yoqeqesho kunyanzeleka
ngaphambili emapoliseni
yakwazitha kukuba
lizimisele ukuqinisekisa
abantu bokubabambela
bemfuyo amafama
esithi kwenziwe
yenceba abathi
abanoteksi baswelekele
nokuba ukhona
ngebas zonyakamali
inyanga elandelayo
eliya kwiqela
thuba nelinjongo
abasibhozo yiindia
streptococcus pneumococcus
isilo esintlaluza
oneminyaka esibhozo
bezuze baphonononga
nalapho kusebenzayo
yokuxhasa izikolo
yinkanyamba eluthe
bebesenkomeni kwaye
mixholo efanele
behleli kwimizuzu
kuleveki sincokola
exceptions ziyenziwa
ngunancy abuye
undwendwe oluhloniphekileyo
ezinenani elincinane
izivumelwano nemibutho
kweli nqaku
nasethekwini ngokulandelelana
kuthi ukuba
iproteas ibethwe
nanjengoko ilixesha
lakujonga inzuzo
ixesha kwithuba
zakhe kwabanye
kuncedisa ootitshala
kuthe kusaqhuba
kuphela kokuzaliswa
ngezenzo ezenzeke
iindlela zokusonjululwa
kulindeleke ukuba
kubafi akusekho
ndiphupha ndisimka
sisenza imigushuzo
engaphaya komhlaba
ingoma kusungulwa
angafakwanga marks
usuku lwesikolo
butyebi bethu
indawo ekhuselekileyo
uthixo usasithanda
kangangeminyaka phambi
ukuba banqwenelele
anesihlanu iqhuba
kweyantathu yealtricial
bajonge umkhombandlela
umaadonsela ukuba
abasandula kuqeshwa
ngamadoda ngoko
wonke amagosa
bhidibhidi zajika
ndiphuma endlini
umdlalo nakubeni
wayefunda ibanga
ezigqithe wemizuzu
asedutch afika
kwekhosi yoqeqesho
kuwafundisa njani
mazithethathethane nabaphathi
mkhuba uzama
baphumle kuqinisekisa
uzive phantsi
kufuneka bazise
lwezithuba oluyidrafti
kumaphondo aquka
akukho mviwa
