sakhele kulokhu
ukufunda ndawonye
mankayi nathi
ukuthi bethula
balwisana kakhulu
wawubikela umphakathi
ngenkulu intokozo
njalo kungafezeki
liqhamuke nezisombululo
ngendondo inobel
ebambile noarthur
isivinini nomdlandla
sakhe sokuthoma
sitholakala kwizindawo
ngathi iyona
wezethembiso zokhetho
esaba ukukutshela
kumele athole
yesifunda sakamasipala
amaphoyisa kwazulunatal
ukuqalisa ukusebenza
abenzelwe phansi
wenyuka phezu
nanzelela njalo
ezindala ezimbili
ujesu evuka
oluyindaba mlonyeni
kunabo bonke
izobhidlika sinqaba
kwabantu besebancane
esinye sezinyathelo
sezinhlawulo kanye
esikwenzile kuleworld
ukulungisa ubudlelwano
emihlanu anticorrosion
kwezempilo okufanele
nokho wabamunye
ikhulunyaka yacela
lwaluvuleleke wonke
izolo ekhasini
yafika emakethe
izindlela zomuntu
eyisithixo sasemhlabeni
uyini umehluko
lokwelashwa ngemishanguzo
aphezulu futhi
khona waphinda
esithe ukube
ayelakho emcabangweni
volos kunabafundi
izinto eziwubuchwepheshe
kwichiefs imidlalo
iqale ukuvuthwa
yokufundisa kufanele
uqede usuko
izifundo zakhe
esezingeni ezokwamukeleka
uzodinga amanzi
saziwayo ojwayele
zamaduna namansikazi
kunasepotchefstroom okugqugquzela
wokugcina ngezansi
ukuthi simtshelile
mabedi okusongwe
udaba lwabo
olusanda kwenziwa
kulesi sikhwama
emhlabeni jikelele
elikwenzayo kodwa
ingabe imithi
lelimnyama lelidze
khona ngokuthi
sezocansi ungafaka
sabezindaba emicimbini
kusho ukuthi
nesebnza kahle
ezodonsa amehlo
umatanyiswa nokuthunjwa
kwidaynight eadelaide
lomqondo unokuphikisana
yohlelo lukahulumeni
yedwa enyangeni
silawulwe imigomo
esikwenzayo kunokuthi
ukuhambela phambili
ishara maharaj
ezolwazi kwezolwazi
zechiefs eqobela
alingise ingonyama
mayelana nokuthi
umdlalo walolu
lapho ebonge
zimbabwe kanye
bakhe bamkholwa
okuzokwenza impilo
iphinde ihlinzeke
mashaba nokhabo
ngolwesabc ngengoma
yisuspension yangemuva
ezidingeka masishane
ukuthi kwizimo
ukushenxa kuleli
ukhethwa kuleli
kusuka ebeziwuthola
elwisayo ebalekayo
okokuqala futhi
uhlukumezekile sesimfunela
futhi bangidazise
wezokuthuthukiswa komphakathi
sonile kujehova
wabantu bokuqala
ngiyakhumbula ukuthi
efuqa amandla
bazohlanganyela nomdala
abayeni abasezikhundleni
yakhe funda
webest urban
ayisishiyagalombili ezishintshayo
ngenkathi yemvula
ukufinyelela ekuhlanganiseni
benzeni nokuthi
ingalo efile
esekhohliwe ukuthi
nezamazwe ukuze
bukettraube yenziwa
yabantu okubalwa
ingasetshenziswa nganoma
kwezinjongo zokuthuthuka
ngisho abakhapheyane
lezwela ubuhle
sicela uveze
imenenja yakuleli
ukuthi izingane
nokwengeza ubuhle
badonsa umoya
kanye nezamazwe
ureneilwe ilockdown
yesizathu sokuthi
niyovula isikhala
umongameli mandela
ucwaningo ngokuveza
africa angola
abhekana ngabantu
kepha kalokhu
ngoba kuyangijabulisa
ubernard parker
konke ukwesekwa
eshiywe zithandwa
ngetouchscreen yemoto
ukhetho ngaphambi
yathobela umthetho
ngesikhathi sokukhuliswa
ukuze ubonakale
kamrs ovulele
namaairbag amahlanu
ezintabeni nasezigodini
eyilamayo litre
sinesiqiniseko sokuthi
kazwelonke yokwenza
ezenzelwe njongo
ngiyakukwenza ukuba
okufana nakho
nokukhulumisa abantu
zithole umhlomulo
ongasindiswa ngalo
ngiyamthanda uthando
unksz neluvhala
impilo ngcono
iziqu zepublic
bathi benze
uwinnie ebaseka
unqobe imidlalo
sathola nethuba
isithembu kodwa
kufundwe kulolu
kunemicimbi yentuthuko
kwazozonke lezindlela
avule indawo
wayengowesilisa kanti
abuyi ndawo
ekhaya isona
owasinda ngokuthi
yonke ngoba
kumasingana zimitha
wezokuphepha kwazulunatal
elishaya ngasekhaya
kakhulu titfungo
engazi lapho
zamanzi kwizifundazwe
ngayinye kumakhasimende
ezinhlelweni zethu
bengilithola ijezi
nguwena nkosi
amandla nobuthakathaka
futhi abahlonishwayo
uvalwe esakhuluma
ukusabalala kwale
kanjani ukudala
ngisho ukufunda
kajohane ukuthi
ngunomfundo mlaba
uphuma elibrary
yalomcimbi abale
uzakri ukuthi
kaunda emtshela
funda izenzo
futhi obubonakala
kakhulu sehlisa
odume ngelika
abasebenzi abangazithola
seintellilink okwazi
kodwa indaba
ngiyawazi amandla
sokuqala lapha
unikezwa indandatho
wathi akasisayine
iduna njengoba
abalingisi abagidagida
abazi abenzi
ezinkulungwane zabantu
azisole ngezono
ngoba bashayisana
ngamalitha ayishumi
abagulayo izingane
kakhulu mngane
laqala labona
izindebe zomlomo
ngesikhathi kwehla
reservoir njalo
uramaite ukuthi
icala nokuthi
elikhungethwe yizinkinga
siyakukhuphuka silwe
usumkhulu kakhulu
yisipho njengo
ukuyilandela imithetho
kusisize kakhulu
ekuseni ngiyavuka
walabo abagcina
basivotele ngoba
wahambela izikole
akukwazi ukuthi
ngifisa kucace
abalimazi umasipala
besanda kubuyela
futhi zenzelwe
lidedele abaculi
futhi ngunyaka
besilisa abenze
sezinkolelo zakhe
sasemalokishini ngoba
enezintatheli zonke
belingisa sengathi
ayisihlanu onayo
ngemuva kokuba
izimali ezingasetshenziswa
njengoba wayebona
kanye nodokotela
kuthi ongene
lorusile nsundvu
uthando lokusakaza
othisha abangu
uphat emnyangweni
sokuthi ukubhekana
nenkinga yesikhumba
abalimi abaningi
