afudde olwettaka
bamutwalako ddwaaliro
ttaapu zagemugga
kutambula kusussa
okujjanjaba endwadde
leediyo wadde
bangi abakukuta
yakyuse ssaawa
obuwumbi bamuyodde
ngenda kulwanirira
nsalessale owino
ezenjegere recoiless
ziyinza okukkiriza
baatambulidde prado
okubataasa baleme
ababaka beemulugunyizza
babadde baakamala
okumerengula gazimba
sekyase arnold
alekulire abasamize
bamukubemu kibooko
abakazi bawadde
kyayo ekyokulwanyisa
bazannya kintu
babba ssente
okusinga nkirekedde
micheal taban
amataala basobole
batiguka kampala
eziva bujama
eziwera okuli
abakyala kawafu
tannayingira bunnaddiini
akaaguddewo ssande
nsiko nalwana
wabula lwokutaano
bamanya gyali
noyambala enkoofiira
ekyayinza obutaggwa
abakyala nabawala
nendala kyangu
ngembuzi babaleka
eziwera abakuumi
kyalina amaanyi
iganga okubatwala
katikkiro asaasidde
ababavunaanyizibwako tebaabaddewo
nakwata pikipiki
abazigu abalumbye
bannaddiini abeeyongera
baweze added
okutuzimbira kaabuyonjo
bakkaanyizza bongezaayo
ezize noddamu
abaatikkiddwa eggulo
nassebigambo okukakasa
kuliko dumba
bazze okwekebejja
kizito moses
yenna abasawo
kalina yaabwe
abasatu bonna
goodlyfe bongedde
langi ezigwa
bafunye diguli
nentambula ekintu
ssemujuezra geoffrey
kusinda mukwano
abamu tebafaayo
kwanguyira abakyala
kasoro esangibwa
kuloopa basajja
ebisolo basinze
kusitula obuzito
mubiri embuto
sipeeya mmotoka
omwezi ssande
olunaku lulamba
nateete ekutte
balyegabanya bazaalidde
hilton hotel
stella chesang
balaba balinga
mawanga agatali
akakubirizibwa sarah
balina okwogera
bakikoze ngeri
nambi yasuulawo
zooni baasangiddwa
bwakansala kaliisizo
birinnye emiwendo
abeetaaga obuyambi
abezza ettaka
bulungi otunde
mbabazi nninga
byabufuzi nokujereegerera
omugagga bamupimira
hajati bumba
mukono beekubidde
abamu batera
balalu ebitagambika
ennyama yabafu
abaali eagles
omara muganzi
ebyetaba mpaka
limanda luzira
wabula embeera
okutegeera munne
okuvaayo nategeeza
owange andaze
ennyanja zirimiddwa
ebbanga okufuna
baleme okulonda
abawerako batiisizza
owewa kisekka
kampala central
nakyo kikulu
obuzibu omubiri
alina okubeera
akora martin
densite twetegekera
bakubye omwana
johnson balyantuma
baserikale baajajja
baali batono
abasajja ababadde
enkaka kkolera
bakuba ekituli
maato abagagga
bategeka okusisinkana
ezikwata babbaabwe
bukedde ababaka
abakyala batongozza
balabamu omulamwa
obubonero okusinziira
uganda zonna
obwereere kiyamba
lyeyali omubaka
yabikugamba obimukole
mbiriizi okumutakula
lwokutaano bukya
balaze ekibakuumidde
twalabanga dennis
okukusanyusa mbeera
nnakawere nowolubuto
birina obukuumi
oluyimba lweggwanga
poliisi yeeyambisa
airtel rising
kibutika siraaj
kabamba omulambo
utoda ssente
kazambi nnyanja
ebyenjawulo ssaza
nakulabye ekutte
amazina gaabwe
ngasabye sipiika
nalumizibwa omutwe
bazaalira ebisinga
ogwokutunda ensawo
wagwa ettaka
kkooti nakawa
kuliko joseph
kyakwata omuliro
lugogo nekiri
ekiseera yamuwa
kwakolebwa lujjudde
ayamba okwoza
abasajja bamukutte
ebimwogerako gyava
okugya myaka
baayimirizza emmotoka
kakasa ebisenge
okuweebwa obutwa
abaabadde bakubirizibwa
bonna yabagulira
naddala nnaku
abawe ofiisi
palamenti batadde
okukaayanira omwana
yabafu babasibye
bazzeemu okusisinkana
ekiyamba okukuza
okuyiwa kazambi
munne naddala
bayise akatuubagiro
disitulikiti kutandise
abakulembeze bomukago
omubiri gubulwa
emmere ereeta
vipers battunka
tereeza charles
abekkanisa yabadiventi
akakiiko akassibwawo
kuggulawo ebbaala
katende kenneth
mizannyo olympics
bayige emirimu
okutindigga eggendo
ngulu zitta
okubawa amagezi
abaddusi bakedde
eziwera obukadde
bagamba abasulawo
bwotwalayo ensonga
basimattuse akabenje
mulamu bulungi
bakadde baabwe
bwakabaka ngadda
baajereze ssingo
bammwe tebalya
bwakatikkiro bagamba
neddala lyayitako
yeekyusa akoona
kampala bazze
kukuza ebyenjigiriza
awaka balinayo
lisitudde enkundi
kammwe akapya
okufuna essanyu
bantu abagibeeramu
kawotto nabwami
lwalambula abaganda
okuziika aronda
omuduumizi poliisi
ezebbeeyi nendala
newankubadde abamu
ekikolwa beeyama
oluvannyuma abako
eyali minisita
omubaka kampala
alina okulya
tugula kasawo
okutuusa kulwana
akeedi zaabwe
abachina bavudde
yebintu byokugula
omusomesa ayiiridde
yenna ngakozesa
ebirabo okuli
kenya cameroon
okutuukiriza ebigendererwa
robert ssekyanzi
ababaka banaasisinkana
okutugatta famire
abasinga okwenyigira
kivudde nsimbi
myezi musanvu
bulungi olugoye
bipakire bulungi
musika nafuna
zeefaanaanyiriza ttule
bwereta robert
kyere added
basobezza baana
abalongo abaazaalibwa
bonna abaakafuga
abadde ategeka
abasuubuzi bagaanyi
erikuuma emirambo
eyeetaaga okulabirira
ssukaali beebo
abagirimu okubeera
tebaabadde kibinja
abadde mukamawe
batya nokweyambula
ekigumira endwadde
ezaabwe abaana
nsimbi zituwa
poliisi yaakatulagako
kuliko brigadier
baasazeewo lipoota
akendeere lubuto
nobukodyo obupya
nakalanzi mutungo
eggwanga lisobole
lwokusingisibwa omusango
kkanisa yabajulizi
abalala baavuddeyo
nengeri biyimbibwamu
okuleka akawago
ronald sebusolo
kenya omusajja
kwesuula bbanga
nagwa katono
uganda baavu
kutonnya gomba
okufaafaagana neyali
makenke mbarara
wansi bwakabaka
ttooyi bateese
kasooli nebijanjaalo
nabawala babadde
olwomusulo ssuulwe
kwetema sipeeya
yagenda bungereza
added january
bawoza biragiro
ziggwawo endala
obuweereza bwabakazi
kyobuyonjo awanuse
besigye eyasimbyewo
bulungi balina
nazitwalira omukazi
abagenda okubala
bitundu rwenzori
okubaleetera ebbugumu
wakati batera
bawaaniddwa wabula
bagenda okweyambisa
okulwanyisa obwavu
mpola okwemulula
abaasangiddwa lubona
yabazadde baabwe
noluganda eyali
bakoze olukalala
kwetaaga obwongo
rigyoni ezibadde
egyabuutikidde ebyalo
tukola ogwokutunda
boogedde abagagga
obwalese abasajja
gaddukanyizibwamu oluvannyuma
abajaasi balaze
ezekiro bamutema
eyannama ddala
abadde abobbebwa
mitendera bufumbo
poliisi eginya
mukiibi bazadde
biragiro bakama
basiiba bunkenke
